title;entity;Vikidia;Wikipedia
2015;LOC;2015 was a common year, followed by 2016 and preceded by 2014.  January 7: The Charlie Hebdo shooting occurs in Paris.  March 6: NASA lands it's Dawn probe on Ceres.  March 24: Germanwings Flight 9525 crashes down in the French Alps. All are killed.  April 25: A 7.8-magnitude earthquake strikes Nepal, causing over 6,000 deaths.  September 24: During the Hajj in Saudi Arabia, 2,200 people are killed when a tower collapses, and causing a stampede.  November 13: Multiple terrorist attacks occur in Paris, causing 139 deaths.  November 30: The Climate Change Deal is signed.;2015 (MMXV) was a common year starting on Thursday of the Gregorian calendar, the 2015th year of the Common Era (CE) and Anno Domini (AD) designations, the 15th year of the 3rd millennium and the 21st century, and the 6th year of the 2010s decade. 2015 was designated by the United Nations as: International Year of Light International Year of Soil Events January January 1 – Lithuania officially adopts the euro as its currency, replacing the litas, and becomes the nineteenth Eurozone country. January 3–7 – A series of massacres in Baga, Nigeria and surrounding villages by
Shift;O;The shift key is used on keyboards to create capital letters without using Caps Lock;Shift may refer to: Art, entertainment, and media Gaming Shift (series), a 2008 online video game series by Armor Games Need for Speed: Shift, a 2009 racing video game Shift 2: Unleashed, its 2011 sequel Literature Shift (novel), a 2010 alternative history book by
Bertolt Brecht;MISC;Eugen Berthold Friedrich Brecht (1898–1956) was a German playwright and poet. He came to age after the First World War and moved to Berlin, where he wrote The Threepenny Opera. He had a great influence on modern day theatre.  Brecht was a Marxist and had to fled to Scandinavia and later to the United States. He returned after the war to East Berlin, which was now communist, and eventually died there.;Eugen Berthold Friedrich Brecht (10 February 1898 – 14 August 1956), known professionally as Bertolt Brecht, was a German theatre practitioner, playwright, and poet. Coming of age during the Weimar Republic, he had his first successes as a playwright in Munich and moved to Berlin in 1924, where he wrote The Threepenny Opera with Kurt Weill and began a life-long collaboration with
List of fruits;O;Fruits on this wiki are defined as the word is used in everyday speech. It does not include vegetables, whatever their origin. The following are fruits:;"This list contains the names of fruits that are considered edible either raw or cooked in various cuisines. The word ""fruit"" is used in several different ways. The definition of fruit for this list is a culinary fruit, that is, ""Any edible and palatable part of a plant that resembles fruit, even if it does not develop from a floral ovary, also used in a technically imprecise sense for some sweet or semi-sweet vegetables, some of which may resemble a true fruit or are used in cookery as if they were a fruit, for example rhubarb."" Many edible plant"
James Joyce;MISC;James Joyce (2 February 1882 – 13 January 1941) was an Irish writer. He wrote short stories and novels. He created new ways of writing and experimented with language. His best-known writings include The Dubliners, Portrait of the Artist as a Young Man, Ulysses and Finnegan's Wake.  He lived most of his adult life in Switzerland and Paris. He had a hard life with blindness, money troubles, censorship, and his daughter's mental illness. He died just a month before his 59th birthday.;James Augustine Aloysius Joyce (2 February 1882 – 13 January 1941) was an Irish novelist, poet, and literary critic. He contributed to the modernist avant-garde movement and is regarded as one of the most influential and important writers of the 20th century. Joyce's novel Ulysses (1922) is a landmark in which the episodes of Homer's Odyssey are paralleled in a variety of literary styles, particularly stream
Beech;MISC;European beeches (Fagus sylvatica) have a silver-grey smooth thin bark and toothed deciduous leaves. They bear small fruits called nuts protected by husks known as cupules.  Beech wood is an excellent firewood and some drums are made from beech. It gives a utility timber used to build log cabins.  Leaves in spring;Beech (Fagus) is a genus of deciduous trees in the family Fagaceae, native to temperate Eurasia and North America. Recent classifications recognize 10 to 13 species in two distinct subgenera, Engleriana and Fagus. The Engleriana subgenus is found only in East Asia, distinctive for its low branches, often made up of several major trunks with yellowish bark. The better known Fagus
UEFA Champions League;MISC;"UEFA Champions league from 1992 until today is the most prestigious tournament in Europe. The winning team has the right to participate in the European Super Cup and the World Cup This tournament was called many years ago ""The Champion Cup"" In 1955-1956,";The UEFA Champions League (historically known as the European Cup and mostly abbreviated worldwide as the UCL) is an annual club association football competition organised by the Union of European Football Associations (UEFA) and contested by top-division European clubs, deciding the competition winners through a round robin group stage to
Gorilla;LOC;The gorilla(Gorilla) is a mammal. It is a primate native to Africa. The gorilla is the next-closest living relative to humans, after the chimpanzee and bonobo. There are two species (eastern and western) and four or five subspecies. They are ground-dwelling, plant-eating mammals, that live in the forests of Africa from the highlands to the lowlands.;Gorillas are herbivorous, predominantly ground-dwelling great apes that inhabit the tropical forests of equatorial Africa. The genus Gorilla is divided into two species: the
Mushroom;MISC;A mushroom, or toadstool, is a type of fungus. They usually have a pileus, or a cap, a stipe, or a stem and produce spores. Most mushrooms are gilled. Some mushrooms are edible. The earthstar is a type of mushroom. Unlike other mushrooms, it doesn't have gills and releases its spores by shooting them out through a hole in the fruiting body. Earthstars also look different. Gasteroid fungi are a group of fungi. They don't have gills. Some resemble pouches and shoot out their spores. The stinkhorn is the common;"A mushroom or toadstool is the fleshy, spore-bearing fruiting body of a fungus, typically produced above ground, on soil, or on its food source. Toadstool generally denotes one poisonous to humans.The standard for the name ""mushroom"" is the cultivated white button mushroom, Agaricus bisporus, hence the word ""mushroom"" is most often applied to those fungi (Basidiomycota, Agaricomycetes) that have a stem (stipe), a cap (pileus), and gills (lamellae, sing. lamella) on the underside of the cap. ""Mushroom"" also describes a variety of other gilled fungi, with or without stems, therefore the term is used to describe"
Republic of Artsakh;LOC;The Artsakh Republic has a lot of mountains. It is 4,440 square miles in area, and borders Armenia, Azerbaijan, and Iran. The Nagorno-Karabakh Republic or Artsakh Republic calls itself an independent country in the South Caucasus. But almost every country says it is really part of Azerbaijan. The region has had many Armenians living there for a long time. The;Artsakh ( ART-sa(h)kh), officially the Republic of Artsakh or the Republic of Nagorno-Karabakh ( nə-GOR-noh kər-ə-BAHK), was a breakaway state in the South Caucasus whose territory was internationally recognised as part of Azerbaijan. Between 1991 and 2023, Artsakh controlled parts of the former Nagorno-Karabakh Autonomous Oblast of the Azerbaijani Soviet Socialist Republic, including its capital Stepanakert. It had been an enclave within Azerbaijan from the 2020 Nagorno-Karabakh war until the 2023 Azerbaijani offensive, when the Azerbaijani military took control over the remaining territory controlled by
Mammoth;LOC;"The mammoth (scientific name : Mammuthus) is an extinct elephant. There were several species. They lived in Africa, Europe, Asia, and North America. They evolved about 5 million years ago and became extinct about 4,500 years ago.  When they lived in northern Europe, the continent was covered with ice and tundra. These northern species adapted to cold climate however; they grew hairy coats. They were killed off by hunters and climate change.";A mammoth is any species of the extinct elephantid genus Mammuthus. The various species of mammoth were commonly equipped with long, curved tusks. They lived from the Pliocene epoch (from around 5 million years ago) into the Holocene about 4,000 years ago, and various species existed in Africa, Europe, Asia, and North America. Mammoths are more closely related to living Asian elephants than African elephants. The oldest mammoth representative, Mammuthus subplanifrons, appeared around five million years ago during the early Pliocene in what is now southern and Eastern Africa.
Love;O;Symbol of love.  Love is when you like someone, very intensely.  There are different types of love relationships: the relationships between a boyfriend and girlfriend couple (love relation), the relations between parents and children, and between brothers and sisters.  Friendship can be seen as a kind of love, because it is also to feel close to someone, but not with the same intensity.;Love encompasses a range of strong and positive emotional and mental states, from the most sublime virtue or good habit, the deepest interpersonal affection, to the
Tsunami;MISC;The tsunami of 2004 A tsunami is a series of water waves caused by the displacement of a large volume of water. Tsunamis do not;A tsunami ( (t)soo-NAH-mee, (t)suu-, from Japanese: 津波, lit. 'harbour wave', pronounced [tsɯnami]) is a series of waves in a water body caused by the displacement of a large volume of water, generally in an ocean or a large lake. Earthquakes, volcanic eruptions and other underwater explosions (including detonations, landslides, glacier calvings, meteorite impacts and other disturbances) above or below water all have the potential to generate a tsunami. Unlike normal ocean waves, which are generated by wind, or tides, which are in turn generated by the gravitational
Menhir;MISC;The word comes from Breton maen hir stone+tall it is a monument of prehistoric times, consisting in a single tall standing stone.[1];"A menhir (, from Brittonic languages: maen or men, ""stone"" and hir or hîr, ""long""), standing stone, orthostat, or lith is a large upright stone, emplaced in the ground by humans, typically dating from the European middle Bronze Age. They can be found individually as monoliths, or as part of"
Snake;O;"All snakes are carnivorous, and most of them are predators. A snake hunts its prey and kills it either with a venomous bite or by smothering it (snakes of this kind are called constrictors).  The snake's tongue is bifid, meaning that it is split in two at the edge. The snake uses its tongue to collect odours that it analyses with organs placed in its mouth. The snake ""tastes the air"", in a kind of way, to detect prey by smelling.";Snakes are elongated, limbless, carnivorous reptiles of the suborder Serpentes (). Like all other squamates, snakes are ectothermic, amniote vertebrates covered in overlapping scales. Many species of snakes have skulls with several more joints than their lizard ancestors, enabling them to swallow prey much larger than their heads (cranial kinesis). To accommodate their narrow bodies, snakes' paired organs (such as kidneys) appear one in front of the other instead of side by side, and most have only one functional lung. Some species retain a pelvic girdle with a pair of vestigial claws on either side of the cloaca.
Medal;LOC;Obverse Gold medal for bravery (Austria-Hungary) Charles I;A medal or medallion is a small portable artistic object, a thin disc, normally of metal, carrying a design, usually on both sides. They typically have a commemorative purpose of some kind, and many are presented as awards. They may be intended to be worn, suspended from clothing or jewellery in some
Jerusalem;LOC;The city of Jerusalem was founded most likely by the Canaanites, who lost it to the Jews in their conquest of Canaan.[1] It became the capital of the nation of Judah, and continued to be the capital after Judah broke into Judah and Israel.[2] Much of the city had been improved by King Solomon, who constructed a large temple considered by some;Jerusalem (, Hebrew: יְרוּשָׁלַיִם Yerushaláyim, pronounced [jeʁuʃaˈlajim] , Arabic: القُدس al-Quds, pronounced [al.quds] , local
City;LOC;A city is a place where many people live. There is no simple definition of how big a city can be. Some very large cities, such as Tokyo (Japan) and Mexico City (Mexico), have tens of millions of people. Many other cities may only have a few hundred people.;"A city is a human settlement of a notable size. The term ""city"" has different meanings around the world and in some places the settlement can be very small. Even where the term is limited to larger settlements, there is no fixed definition of the lower boundary for their size. In a more narrow sense, a city can be defined as a permanent and densely settled place with administratively defined boundaries whose members work primarily on non-agricultural tasks. Cities generally have extensive systems for housing,"
Wikiversity;ORG;"English Wikiversity logo  Wikiversity is a wiki hosted by the Wikimedia Foundation. It has resources for learning, and it claims to be a ""learning community"". As of February2015, the English Wikiversity had over 27,800 learning resources.[1]";Wikiversity is a Wikimedia Foundation project that supports learning communities, their learning materials, and resulting activities. It differs from Wikipedia in that it offers tutorials and other materials for the fostering of learning, rather than an encyclopedia. It is available in many languages. One element of Wikiversity is a set of WikiJournals which publish peer-reviewed articles in a stable, indexed, and citable format comparable with academic journals. These can be copied to Wikipedia, and are sometimes based on Wikipedia articles. As of February 2024, there are Wikiversity sites active for 17 languages comprising
Zürich;LOC;Zürich is the biggest city of Switzerland and the capital of the canton of Zürich. It's located in the north of Switzerland and the official language of the city is German. Despite it's small population, Zürich is leading city in the world due to it's large finance centres.;Zürich ( ZURE-ik, German: [ˈtsyːrɪç] , see below) is the largest city in Switzerland and the capital of the canton of
Television;O;(Redirected from TV);Television (TV) is a telecommunication medium for transmitting moving images and sound. The term can refer to a television set, or the medium of television transmission. Television is a mass medium for advertising, entertainment, news, and sports. Television became available in crude experimental forms in the 1920s, but only after several years of further development was the new technology marketed to consumers. After World War II, an improved form of black-and-white television broadcasting became
Appendicitis;ORG;"↑Fitz RH (1886). ""Perforating inflammation of the vermiform appendix with special reference to its early diagnosis and treatment"". Am J Med Sci (92): 321–46.";Appendicitis is inflammation of the appendix. Symptoms commonly include right lower abdominal pain, nausea, vomiting, and decreased appetite. However, approximately 40% of people do not have these typical symptoms. Severe complications
Savanna;LOC;Savanna in March in Benin The Savanna or savannah is a type of biome that exist in tropical and subtropical regions. There are tall and closely grasses and scaterred bushes and trees. In the dry season grasses fade. But there is lots of grasses that can regrow;A savanna or savannah is a mixed woodland-grassland (i.e. grassy woodland) ecosystem characterised by the trees being sufficiently widely spaced so that the canopy does not close.
Harry Potter and the Prisoner of Azkaban;PER;The third novel, Harry Potter and the Prisoner of Azkaban, follows Harry in his third year of magical education. It is the only book in the series which does not feature Lord Voldemort in any form, only being mentioned. Instead, Harry must deal with the knowledge that;Harry Potter
Rome;LOC;"Rome, nicknamed the ""Eternal";Rome (Italian and Latin: Roma, Italian: [ˈroːma] ) is the capital city of Italy. It is also the capital of the Lazio region, the centre of the Metropolitan City of Rome Capital, and a special comune (municipality) named Comune di Roma Capitale. With 2,860,009 residents in 1,285 km2 (496.1 sq mi), Rome is the country's most populated comune and the third most populous city in the European Union by population within city limits. The Metropolitan City of Rome, with a population of 4,355,725 residents, is the most populous metropolitan city in Italy. Its metropolitan area is
Operating system;MISC;An operating system (often called an OS) is a piece of software that is needed to run programs on a device. Most computers come with one already installed. Some are free (like Ubuntu) and some are paid (Microsoft Windows);An operating system (OS) is system software that manages computer hardware and software resources, and provides common services for computer programs. Time-sharing operating systems schedule tasks for efficient use of the system and may also include accounting software for cost allocation of processor time, mass storage, peripherals, and other resources. For hardware functions such as input and output and memory allocation, the operating system acts
Betsy Ross;PER;In The Birth of Old Glory by Percy Moran, Ross and her daughters present the first American flag to George Washington in June, 1776 Betsy Ross (1752-1836) is credited with having sewn the first American flag. She was born Elizabeth Griscom in Philadelphia, Pennsylvania to Quaker parents on January 1, 1752. When she became an adult, she operated her own upholstery business. Ross was married three times. Her first husband was;Elizabeth Griscom Ross (née Griscom, January 1, 1752 – January 30, 1836),
Dinosaur;MISC;Life restoration of a herd of Anchisaurs, in a forest, during the Early Jurassic (about 190 millions years ago). About the size of a sheep, Anchisaurs were herbivorous dinosaurs. Up to 6meters long and 3 meters tall, the Ceratosaur was a giant carnivorous living during the Jurassic, about 140 millions years ago. Drawing of a Tarbosaur, an Asian relative of the Tyrannosaur, and carnivorous as it. Both were giants (about 12 meters long and 4 meters tall, about 5 tons) carnivours dinosaurs, among the last non-birds dinosaurs, living in the Late Cretaceous, about 70 to 65 millions;Dinosaurs are a diverse group of reptiles of the clade Dinosauria. They first appeared during the Triassic period, between 243 and 233.23 million years ago (mya), although the exact origin and timing of the evolution of dinosaurs is a subject of active research. They became the dominant terrestrial vertebrates after the Triassic–Jurassic extinction event 201.3 mya and their dominance continued throughout the Jurassic and Cretaceous periods. The fossil record shows that birds are feathered dinosaurs, having evolved from earlier theropods during the
Risotto;MISC;Risotto is an Italian dish which consists of rice cooked in stock or broth, together with other ingredients such as meat and vegetables. Usually, people would eat either antipasto or pasta, then the risotto. It is easy and quick to cook. Risotto originates from Italy. The Arabs introduced rice to Italy during the Middle Ages. Shorter-grained rice could be grown well due to the humidity of the Mediterraneanclimate. Rice became well known throughout Italy. Other countries discovered;Risotto is an Italian rice dish cooked with broth until it reaches a creamy consistency. The broth can be derived from meat, fish, or vegetables. Many types of risotto contain butter,
Thomas Mann;PER;"Mann became one of the biggest critics of the Nazi regime. His literature is an example of the Exilliteratur; the literature of the writers of dared to criticize Hitler.";Paul Thomas Mann (UK: MAN, US: MAHN, German pronunciation: [ˈtoːmas ˈman] , 6 June 1875 – 12 August 1955) was a German novelist, short story writer, social critic, philanthropist, essayist, and the 1929 Nobel Prize in Literature laureate.
Division;O;Division is the action of splitting something into (smaller) parts. For instance, a cake is usually divided into slices: all the slices put together make up the cake again. The same reasoning holds with numbers: 12 divided by 4 is 3, because if we split a 12 inches;Division may refer to: Mathematics Division (mathematics), the inverse of multiplication Division algorithm, a method for computing the result of mathematical division Military Division (military), a formation typically consisting of 10,000 to 25,000 troops Divizion, a subunit in some militaries Division (naval), a collection of warships Science Cell division, the process in which biological cells multiply Continental divide, the geographical term for separation between watersheds Division (biology), used differently in botany and zoology Division (botany), a taxonomic rank for plants or fungi, equivalent to phylum in zoology Division (horticulture), a method of
Roald Amundsen;PER;Captain Roald Amundsen at the wheel leaving home for the North Pole. Huskies: the kind of dogs used by Amundsen Roald Amundsen (Roald Engelbregt Gravning Amundsen, 16 July 1872 – c. 18 June 1928) led the Antarctic expedition (1910–12). He and his team were the first to reach the South Pole. Amundsen was also the first man known to travel the Northwest Passage. Amundson was a Norwegian;Roald Engelbregt Gravning Amundsen (UK: , US: , Norwegian: [ˈrùːɑɫ ˈɑ̂mʉnsən] , 16 July 1872 – c. 18 June 1928) was a Norwegian explorer of polar regions. He was a key figure of the period known as the Heroic Age of Antarctic Exploration. Born in Borge, Østfold, Norway, Amundsen began his career as a polar explorer as first mate on Adrien de Gerlache's Belgian Antarctic Expedition of 1897–1899. From 1903 to 1906, he led the first expedition to successfully traverse the Northwest Passage on the sloop Gjøa. In 1909, Amundsen began planning
Mahatma Gandhi;LOC;Mohandas Karamchand Gandhi (Hindi: मोहनदास करमचन्द;Mohandas Karamchand Gandhi (ISO: Mōhanadāsa Karamacaṁda Gāṁdhī, 2 October 1869 – 30 January 1948) was an Indian lawyer, anti-colonial nationalist and political ethicist who employed nonviolent resistance to lead the
Dinant;LOC;Dinant is a city in Belgium.The river Meuse passes trough it.It's located at the south of Namur.Belle Vue (Nice Vue in English) is a school in Dinant.;Dinant (French pronunciation: [dinɑ̃] ) is a city and municipality of Wallonia located in the province of Namur, Belgium. On the shores of river Meuse, in the Ardennes, it lies 90 kilometres (56 mi) south-east of Brussels, 30 kilometres (19 mi) south-east of Charleroi and 30 kilometres (19 mi) south of the city of Namur. Dinant is situated 20 kilometres (12 mi) north of the border with France. The municipality consists of the following districts: Anseremme, Bouvignes-sur-Meuse, Dinant, Dréhance, Falmagne, Falmignoul, Foy-Notre-Dame, Furfooz,
Sundarbans;LOC;Beauty of Sundarbans river The Sundarbans is a vast forest on the coast of the Bay of Bengal, one of the natural wonders of the world. Located in the delta area of ​​the Ganges, Meghna and Brahmaputra river basins, this magnificent forest covers Khulna, Satkhira, Bagerhat, Patuakhali and Barguna districts of Bangladesh and two districts of the Indian state of West Bengal in North 24 Parganas and South 24 Parganas. As the largest;Sundarbans (pronounced ) is a mangrove area in the delta formed by the confluence of the Ganges, Brahmaputra and Meghna Rivers in the Bay of Bengal. Sundarban Reserve Forest (SRF) of Bangladesh is the largest mangrove forest in the world. It spans the area from the Baleswar River in Bangladesh's division of Khulna to the Hooghly River in India's state of West Bengal. It comprises closed and open mangrove forests, land used for agricultural purpose, mudflats and barren land,
Albrecht Dürer;MISC;He was born and died in Nuremberg, Germany and is best known as a maker of old master prints. His prints were often in a series, so that there is a group of different prints about a subject. The most famous series are the Apocalypse (1498);Albrecht Dürer (, German: [ˈʔalbʁɛçt ˈdyːʁɐ], 21 May 1471 – 6 April 1528), sometimes spelled in English as Durer, was a German painter, printmaker, and theorist of the German Renaissance. Born in Nuremberg, Dürer established his reputation and influence across Europe in his twenties due to his high-quality woodcut prints. He was in contact with the major Italian artists of his time, including Raphael, Giovanni Bellini, and Leonardo da Vinci, and from 1512 was patronized by Emperor Maximilian I. Dürer's vast body of work includes engravings, his preferred technique in his
English language;MISC;"Map of peoples speaking English in the world. Dark blue= English is the official language or the language natively spoken by most people; light blue= English is an official language (possibly alongside other ones) but is not natively spoken by most people. People with dyslexia have a lot of problems with reading and writting because English is not phonetic which means there are not clearly rules for reading and writting and Pronunciation. Unlike";English is a West Germanic language in the Indo-European language family, whose speakers, called Anglophones, originated in early medieval England. The namesake of the language is the Angles, one of the ancient Germanic peoples that migrated to the island of Great Britain. English is the most spoken language in the world and the third-most spoken native language, after Mandarin Chinese and Spanish. It is also the most widely learned
86;O;86 is a number pair. It comes after the 85 and before 87.;"86 may refer to: 86 (number), a natural number 86 (term), a slang term for getting rid of something Dates 86 BC, a year of the pre-Julian Roman calendar AD 86, a common year of the Julian calendar 1986, a common year of the Gregorian calendar 2086, a common year of the Gregorian calendar Art and entertainment 86 (novel series), a Japanese light novel series and anime series ""86"", a song by Green Day from Insomniac Agent 86 or"
George Frideric Handel;LOC;George Frideric Handel (Halle, Duchy of Magdeburg, 23 February 1685 – London, 14 April 1759) was a German composer. He passed most of his adult life in England. He composed operas in Italian for London, and oratorios in English.;George Frideric (or Frederick) Handel (, baptised Georg Fried(e)rich Händel, German: [ˈɡeːɔʁk ˈfʁiːdʁɪç ˈhɛndl̩] , 23 February 1685 – 14 April 1759) was a German-British Baroque composer well known for his operas, oratorios, anthems, concerti grossi, and organ concertos. Handel received his training in Halle and worked as a composer in Hamburg and Italy before settling in London in 1712, where he spent the bulk of his
Material;O;A material is something from which many other things can be made. When we speak about the material, we mean physical substances. For example, the cloth is a material because we can use the cloth to make clothes.;A material is a substance or mixture of substances that constitutes an object. Materials can be pure or impure, living or non-living matter. Materials can be classified on the basis of their physical and chemical properties, or on their geological origin or biological function.
Sugar;O;Sugar is the main generic name for sweet-tasting soluble carbohydrates, many of which are used for eating.;Sugar is the generic name for sweet-tasting, soluble carbohydrates, many of which are used in food. Simple sugars, also called monosaccharides, include glucose, fructose, and galactose. Compound sugars, also called disaccharides or double sugars, are molecules made of two bonded monosaccharides, common examples are sucrose (glucose + fructose), lactose (glucose + galactose), and maltose (two molecules of glucose). White sugar is
Poet;MISC;The word poet originates from Middle English. It is also based on the old Frenchword poete. In Latin the original word was poeta. In classic Greek the word origin was poiētēs.;A
Subway;MISC;"A subway is a train that usually goes underground. It's used to travel quickly in the city. Unlike trams and buses, subway trains have no road traffic to slow them down. Also it does not have overhead wires but a metallic pole next to the track that gives electricity to the subway. Many countries call it the ""Metro.""";Subway,
Lombardy;LOC;Lombardy (Italian: Lombardia) is an Italian region. It is located in the North of Italy. The official language is Italian. The biggest and most important city is Milan.;Lombardy (Italian: Lombardia, Lombard:
Piano Tiles 2;ORG;Piano Tiles 2 is Arcade Game! The Game Created in August;Piano Tiles (known on iOS as Piano Tiles – Don't Tap the White Tile and on Android as Don't Tap the White Tile) is a single-player mobile game launched on 28 March 2014 by Umoni Studio, specifically by creator Hu Wen Zeng.
Tuzla;LOC;Hotel Mellain of Tuzla  Tuzla was named after the Turkish word Tuz which means salt.;Tuzla (Serbo-Croatian Cyrillic: Тузла, Serbo-Croatian pronunciation: [tûzla] ) is the third-largest city of Bosnia and Herzegovina and the administrative center of Tuzla Canton of the Federation of Bosnia and Herzegovina. As of 2013, it has a population of 110,979 inhabitants.Tuzla is the economic, cultural, educational, health and tourist centre of northeast Bosnia. It is an educational center and is home to two universities. It is also the
Lucky Luke;PER;Lucky Luke is a Belgian and French comic series created by Morris in the Almanach 1947, part of the;Lucky Luke is a Western bande dessinée series created by Belgian cartoonist Morris in 1946. Morris
Democratic Republic of the Congo;LOC;The Democratic Republic of the Congo is a country in central Africa. The capital and largest city is Kinshasa.;The Democratic Republic of the Congo, also known as Congo-Kinshasa, DRC, DR Congo, or simply the Congo and known from 1971–1997 as Zaire, is a country in Central Africa. By land area, the DRC is the second-largest country in Africa and the 11th-largest in the world. With a population of around 112 million, the Democratic Republic of the Congo is the most populous officially Francophone country in the world. The national
Joseph Fourier;ORG;Joseph Fourier is born 21 March 1768 in Auxerre, France. He loses his father and his mother early and is orphaned at the age of nine. Fourier is recommended;Jean-Baptiste Joseph Fourier (, French: [fuʁje], 21 March 1768 – 16 May 1830) was a French
