Value;Language Pair
[0.7259390595035317, 0.32354634408916655, 0.2547934986631541, 0.3563872801208102, 0.4017249708250165, 0.4779991335856418, 0.5281081668970485, 0.5972793977831801, 0.6720011091077079, 0.6813174768351018, 0.7382292365282774, 0.7121167610399425, 0.6719255918823183];en-ar
[0.7199980821274221, 0.3550457689232038, 0.32156353812043864, 0.40248142906464635, 0.4293896061306198, 0.531372887895365, 0.5706007970799692, 0.6157327905793984, 0.6660053633099111, 0.7080673316493631, 0.7518022753080974, 0.7314413423774143, 0.686027778419666];en-ru
[0.7472198146954179, 0.45331101046021405, 0.37927799352173075, 0.4230177991216381, 0.4455853015401711, 0.541037770966844, 0.5822064817852031, 0.6370654729862387, 0.6966275247558952, 0.743147046106557, 0.792705633516113, 0.7802820631954819, 0.7514195794115464];en-fr
[0.6951679382038614, 0.31553125799051485, 0.25139302018486587, 0.3310509399029737, 0.3407956568931695, 0.42805028935118267, 0.479178237595285, 0.5512449912540615, 0.6111579408124089, 0.6623565413057804, 0.7084129662563403, 0.6823177037512262, 0.6381830156936];en-hi
[0.684762899861671, 0.32360968908760696, 0.25957070137296495, 0.3631536781892646, 0.3938606533392643, 0.462788426761205, 0.5040390089030067, 0.5679498969810084, 0.6334894496567237, 0.6824347795297702, 0.7361186123608301, 0.7139721936903273, 0.6740763787909722];en-ar
[0.7827185397284726, 0.35896709980937885, 0.31891519739433233, 0.4017410151606115, 0.4418527075306823, 0.5466396613356967, 0.5881964627513662, 0.6393202336093722, 0.6879026397193472, 0.7070618480816484, 0.7576612425719699, 0.724909228378286, 0.6834106427431107];en-ru
[0.8120547409836824, 0.47380129954525424, 0.40104676110980414, 0.4435359270156672, 0.46600825989764416, 0.5527765014604665, 0.5981268066270665, 0.6650236758450047, 0.724600073339728, 0.7510200283924738, 0.8074104479948679, 0.7850849407662948, 0.7366087959706783];en-fr
[0.7611737613255779, 0.34613988692096126, 0.28000272754075317, 0.34062701828661374, 0.3696127655877111, 0.4576140159345232, 0.5128646131713565, 0.5870198878039082, 0.6470545615185983, 0.6602292031887919, 0.7374333598169809, 0.7051851538258295, 0.6379433666278298];en-hi
[0.7511219014755139, 0.3004097523074597, 0.2517864288498337, 0.35557472297300896, 0.3915226513240486, 0.480280889288988, 0.5346498561277986, 0.5963677236903459, 0.6655216243350879, 0.6812268755957485, 0.741325317689528, 0.7112790032848716, 0.6580632695516881];en-ar
[0.7296547334330777, 0.3407676873821765, 0.3148922184164985, 0.4141206304682419, 0.4369740721676499, 0.5261219962189595, 0.5716548624200125, 0.6320279385133957, 0.6909161478901903, 0.7082137936353683, 0.7496769583349426, 0.735106111758699, 0.6541193024876217];en-ru
[0.7681767081997047, 0.4385958304062175, 0.39731911339409026, 0.4428470348753035, 0.45010877688570566, 0.5544991511432454, 0.5973239161338036, 0.6567858241669213, 0.7214680849388242, 0.7641959930708011, 0.8058534797032674, 0.7840779414772987, 0.7188495643958838];en-fr
[0.7248799894823847, 0.3380007905183205, 0.2791543932057296, 0.3534730319364462, 0.36096651367513305, 0.46793083551339804, 0.527564594745636, 0.5983948539197445, 0.6550570712611079, 0.6614666068460793, 0.7164664459166428, 0.6959861371371274, 0.637256141534696];en-hi
[0.7130197295950105, 0.3030811931604209, 0.2505931318215638, 0.34602840231964366, 0.38187537804323557, 0.4664500324932548, 0.5317949572453896, 0.6095897693718628, 0.6782405864523995, 0.6788882168196142, 0.7324287292361259, 0.7009372833510861, 0.6266421286404754];en-ar
[0.7485144314883898, 0.35811359072550353, 0.32046995860136424, 0.41826422326111545, 0.4357410253522297, 0.5284165525962211, 0.5699235281844934, 0.6266408519477894, 0.6921379151257376, 0.7241479686896006, 0.7694459642469883, 0.742474932136635, 0.6937778583128238];en-ru
[0.7911429083471497, 0.44579407271929083, 0.3887268830629182, 0.4259550881556546, 0.4441098665911704, 0.5350741049243758, 0.5777051138008634, 0.6419829302836054, 0.7122551148198545, 0.7658787609140079, 0.8198393912737568, 0.8005506057043871, 0.7379946284213413];en-fr
[0.7318545170283566, 0.3308131421357393, 0.27104249155992877, 0.3388788850265943, 0.35437852487899363, 0.44425011256088814, 0.5044702787557617, 0.5841453334572725, 0.64735206375209, 0.66593084679121, 0.7258160040744891, 0.6953332092038667, 0.6508881460269913];en-hi
[0.7142746880223664, 0.33891701901194515, 0.2657727104976463, 0.362761995162194, 0.3970952539126544, 0.4736090523272287, 0.5271370766079053, 0.5943685869996747, 0.6558502474737664, 0.6809585886696975, 0.7204060485276084, 0.688245127000846, 0.639808303254346];en-ar
[0.7268375456954043, 0.36723213706165553, 0.333636959559905, 0.40126273326886197, 0.42909679777609805, 0.5074116606327395, 0.5430375212718112, 0.5966315448555785, 0.6545061162098621, 0.7181313585489988, 0.7648411187032859, 0.753048164298137, 0.7092547679762355];en-ru
[0.7574809070552389, 0.44023530091168744, 0.3847052805319739, 0.41986058696173134, 0.4299267314467579, 0.5215711684711277, 0.5634114146021117, 0.6306079236231744, 0.7130255906532208, 0.7682355720798174, 0.8242541931693753, 0.809923727226754, 0.77534982457757];en-fr
[0.7175362695691486, 0.3421877812764918, 0.2789657136061578, 0.3615577812884779, 0.3789121033002933, 0.45894573469103006, 0.5166559539514128, 0.5910533408743018, 0.6559764927315215, 0.682254436397925, 0.7384722161044677, 0.7111237082642038, 0.6798368327420515];en-hi
[0.7147566383176793, 0.32147875705113016, 0.2608386115745331, 0.35846666755077117, 0.3956692879786715, 0.45831875303857184, 0.5122904575887757, 0.583264413230936, 0.6494294745265506, 0.6706038998626173, 0.7343375655512016, 0.7142414337846761, 0.6843726451138112];en-ar
[0.724088414798025, 0.35522769965037393, 0.33937181599748634, 0.4144856150314445, 0.4301041380362585, 0.5160757690823327, 0.5512087429439028, 0.6038978843639294, 0.6675177277841916, 0.717977741919458, 0.7608414101103942, 0.7480179619540771, 0.7164181713045885];en-ru
[0.7604887231144434, 0.4520267969412574, 0.41274306867368676, 0.43739518887363377, 0.45424926969998825, 0.5657113144845547, 0.6088749999087304, 0.6714324610680342, 0.7310550737970819, 0.7670356013377507, 0.8155241959728301, 0.804206407951812, 0.7992192786807816];en-fr
[0.684799812877706, 0.3389485749951564, 0.29442545032749573, 0.3480556176199267, 0.37731658014713804, 0.44888924395975965, 0.4952777380189703, 0.5611521762997533, 0.6225675650678265, 0.6586471249877165, 0.7175834045310815, 0.6911590366593252, 0.6514425491388344];en-hi
[0.6911320204136427, 0.29811349073657767, 0.2630727497092448, 0.3625798952424278, 0.40580573277237514, 0.46460567402731007, 0.5194762282180212, 0.5853322593844495, 0.6479441046738066, 0.6756607090185086, 0.7258003782480955, 0.6999936424739038, 0.676608889636894];en-ar
[0.7392181886767503, 0.3810840160535493, 0.3266755846819918, 0.40619926611116774, 0.41762282367485265, 0.49568177744202935, 0.5357840715321557, 0.5962541209021583, 0.6514638663642108, 0.6883855410665274, 0.7486082550572852, 0.7238504849715779, 0.6633591853361577];en-ru
[0.7573211144283414, 0.4427704041466738, 0.37707457796321253, 0.4191476323987202, 0.45872818691762707, 0.557890195553191, 0.6025653732474894, 0.6626260447265425, 0.7117955001847197, 0.7525209876646598, 0.8056999124710759, 0.7878405062100137, 0.7357396516483277];en-fr
[0.7082446739760538, 0.35356455321549823, 0.2652096727707734, 0.3184066168319744, 0.3784251108781852, 0.4708019109784315, 0.5145282424396525, 0.5745624798287948, 0.6281365944507221, 0.646251210514456, 0.713404451298217, 0.6843739660363645, 0.6222104269176877];en-hi
[0.7064542173904678, 0.3078017041415054, 0.2537788871993932, 0.3457731340142588, 0.3815278087808595, 0.4379279007316412, 0.4924107045618196, 0.5686177919308345, 0.630619203884465, 0.6621017491196592, 0.7246120667457581, 0.69913537015828, 0.647531491763269];en-ar
