title;entity;Vikidia;Wikipedia
Блез Паскаль;PER;"Блез Паска́ль (фр. Blaise Pascal [blɛz pasˈkal]; 19 июня 1623, Клермон-Ферран, Франция — 19 августа 1662, Париж, Франция) — французский математик, механик, физик, литератор и философ.";Блез Паска́ль (фр. Blaise Pascal [blɛz pasˈkal], 19 июня 1623, Клермон-Ферран, Франция — 19 августа 1662, Париж, Франция) — французский математик, механик, физик, литератор, философ и теолог. Классик французской литературы, один из основателей математического анализа, теории вероятностей и проективной геометрии, создатель первых образцов счётной техники, автор основного закона гидростатики. Биография Детство Паскаль родился в городе Клермон-Ферран (французская провинция Овернь) в семье председателя налогового управления Этьена Паскаля и Антуанетты Бегон, дочери сенешаля Оверни. У Паскалей было трое детей — Блез и две его сестры: младшая, Жаклин, и старшая, Жильберта. Мать умерла, когда Блезу было 3 года. В 1631 году семья переехала
Мария Кюри;PER;Фотография Марии Кюри (1911)  Мари Кюри (Marie Curie, Marja Sklodowska, 7 ноября 1867 — 4 июля 1934) — польский и французский физик и химик.;Мари́я Склодо́вская-Кюри́ (фр. Marie Curie, польск. Maria Skłodowska-Curie, урождённая Мария Саломея Склодовская, польск. Maria Salomea Skłodowska, 7 ноября 1867 года, Варшава, Российская империя — 4 июля 1934 года, санаторий Санселльмоз, Пасси, Франция) — польская и французская учёная-экспериментатор (физик, химик), педагог, общественная деятельница. Первая женщина — преподавательница Парижского университета. Удостоена Нобелевских премий по физике (1903) и по химии (1911), является первой женщиной — нобелевской лауреаткой в истории и первым дважды нобелевским лауреатом в истории. Первая женщина — член Парижской медицинской академии. Участвовала в создании Институтов Кюри в Париже и в Варшаве. Совместно с мужем, Пьером Кюри, и Антуаном Анри Беккерелем является
Базиликата;ORG;Флаг Базиликата  Базиликата (итал. Basilicata) — административный регион Италии площадью 10.073 км² и населением 575.000 человек (2015).;Базилика́та (итал. Basilicata) — область в Италии. Ранее Лукания (название использовалось с 1932 по 1947 год, хотя этот термин определяет исторический регион с разными границами). Население — 562 869 жителей (2018), столица — Потенца. Включает две провинции — Потенца и Матера. Другими значительными городами, помимо двух центров Потенца и Матера, являются Поликоро, Мельфи и Пистиччи. Область граничит на севере и востоке с Апулией, на севере и западе с Кампанией, на юге с Калабрией, на юго-западе омывается Тирренским морем, на юго-востоке — Ионическим морем. Физико-географическая характеристика Географическое положение Базиликата расположена в Южной Италии, у залива Таранто Ионического моря. Площадь — 9992
Море;O;В самом общем смысле море означает обширное пространство солёной воды. В географии значение этого слова более точное: море — это пространство солёной воды, окружённое сушей и океаном.  Для многих морей мы наблюдаем следующее явление: некоторые породы содержат соль естественным путём. Когда на камни падает дождь, вода несёт в себе немного соли. Вода стекает в реки, но они не хранят соль, в реках очень мало солёной воды. С другой стороны, морская вода, в отличие от рек, впадающих в неё, легко удерживает соль, скапливающуюся в течение сотен миллионов лет. Это одна из причин, по которой вода в море солёная.  В других случаях происходит так: когда в море скапливается много соли, то она хранится в очень больших количествах в морской воде, что приводит к значительным солевым отложениям на морском дне.  Море движется без остановки. В древние времена считалось, что эти явления произошли от божеств.  прилив обусловлен притяжением луны и солнца. Его период занимает двенадцать часов. Различия движения и приливной силы рассчитываются в коэффициентах. Эти движения называются приливом (когда уровень воды поднимается) и отливом (когда уровень воды понижается).;Мо́ре — часть Мирового океана, обособленная сушей или возвышениями подводного рельефа. Отличается от Мирового океана также гидрологическим, метеорологическим и климатическим режимами, что связано с их окраинным положением относительно океанов и замедлением водообмена из-за ограниченности связи с открытой частью. Моря также отделяют друг от друга в соответствии с их флорой и фауной (например, Эгейское море находится в Средиземном море). Для фауны морей характерно наличие эндемиков. У различных авторов, в частности, в Библии, морями может называться любое большое водное пространство (реки, озёра, заливы), например, Египетское море (Ис. 11:15) в Библии по разным предположениям обозначает или реку Нил, или часть Чермного моря, кроме
Антуриум;MISC;Антуриум (лат. Anthurium) — род вечнозелёных растений семейства Ароидные, или Аронниковые (лат. Araceae).  Это тропическое растение родом из Центральной Америки и Южной Америки.;Анту́риум (лат. Anthúrium) — род вечнозелёных растений семейства Ароидные, или Аронниковые (Araceae). Латинское название рода образовано от древнегреческих слов, означающих «цветок» и «хвост». Ботаническое описание Жизненные формы Травянистые вечнозелёные растения, иногда лазающие и очень редко древовидные. Антуриумы могут встречаться в различных формах, но главным образом это эпифиты, растущие на деревьях, с воздушными корнями, спускающимися до лесной подстилки дождевого тропического леса. Есть среди них много наземных видов, встречаются полуэпифиты, то есть растения, начинающие расти из семени в верхнем ярусе леса и затем дающие воздушные корни, спускающиеся до земли, или начинающие свою жизнь, как наземные растения, а затем, поднимаясь на дерево, превращающеся
Европа;ORG;Расположение Европы на земном шаре;Евро́па — часть света в Северном полушарии Земли, омываемая Атлантическим океаном на западе, Северным Ледовитым океаном на севере и имеющая площадь около 10,3 млн км². Вместе с Азией Европа образует обширный материк Евразия, занимая примерно 17 % её общей площади, и является одной из самых маленьких по величине частей света в мире, немного больше Океании. В Европе проживает чуть меньше 750 миллионов человек, что делает её четвёртой по численности населения частью света после Азии, Африки и Америки. В Европе находится 50 государств. Население — 748 млн чел. (9 сентября 2021 года, 10,1 % населения Земли). Этимология Название «Европа», возможно, происходит
Марк Цукерберг;PER;Марк Э́ллиот Цукербе́рг (англ.Mark Elliot Zuckerberg), 14 мая 1984 года, Уайт-Плейнс, штат Нью-Йорк, США) — американский программист и предприниматель в области интернет-технологий, один из разработчиков и основателей социальной сети Facebook.;Марк Э́ллиот Цу́керберг (англ. Mark Elliot Zuckerberg, [ˈzʌkərbɜːrɡ], род. 14 мая 1984[…], Уайт-Плейнс, Нью-Йорк) — американский медиамагнат, интернет-предприниматель и филантроп. Известен как соучредитель компании Meta (ранее — Facebook, Inc.) и является ее председателем, главным исполнительным директором и контролирующим акционером. Он также является соучредителем проекта по разработке космического корабля на солнечных парусах Breakthrough Starshot и одним из членов его совета директоров. Цукерберг учился в Гарвардском университете, где в феврале 2004 года запустил социальную сеть Facebook вместе со своими соседями по общежитию. В мае 2012 года Цукерберг вывел компанию на биржу с контрольным пакетом акций. В 2007 году, в возрасте 23 лет,
Леонардо да Винчи;LOC;Портрет Леонардо да Винчи работы Франческо Мельци.  Леонардо да Винчи (Винчи, 1452 — Амбуаз, 1519) — итальянский художник, а также скульптор, архитектор и учёный во многих областях. Он воплощает универсалистский дух Ренессанса. Его самая известная работа — Мона Лиза. Его произведения значительно повлияли на мир искусства. Наряду с художественной деятельностью также была очень важна его научная работа.  Леонардо до сих пор остается предметом изучения, многие люди хотят больше узнать о его жизни и работах.;Леона́рдо ди сер Пье́ро да Ви́нчи (итал. Leonardo di ser Piero da Vinci, 15 апреля 1452, селение Анкиано, около городка Винчи, близ Флоренции — 2 мая 1519, замок Кло-Люсе, близ Амбуаза, Турень, Франция) — итальянский художник (живописец, скульптор, архитектор) и учёный (анатом, естествоиспытатель), изобретатель, писатель, музыкант, один из крупнейших представителей искусства Высокого Возрождения, яркий пример «универсального человека» (лат. homo universalis). Биография Детство Леонардо да Винчи родился 15 апреля 1452 года в селении Анкиано близ небольшого городка Винчи, недалеко от Флоренции в «три часа ночи» то есть в 22:30 по современному отсчёту времени. Примечательна запись в дневнике деда Леонардо, Антонио да
Берлин;PER;Герб Берлин  фотомонтаж различных местах Берлина  Берлин (нем. Berlin) - столица Германии, самый крупный и самый населённый город страны.  Мемориальная церковь кайзера ВильгельмаГедехтнискирхе;Берли́н (нем. Berlin [bɛɐ̯ˈliːn], ) — столица и крупнейший город Германии, первый по населению и второй по площади город Евросоюза. Является одной из 16 земель в составе ФРГ и целиком располагается внутри федеральной земли Бранденбург. Город расположен на берегах рек: Шпре (в связи с чем его называют «Афинами на Шпре»), Хафель в центре федеральной земли Бранденбург (частью последней Берлин не является с 1920 года).Около 1200 года на месте современного Берлина располагались два торговых поселения — Кёлльн и Берлин. Точная дата получения ими городских прав неизвестна. Городские права Кёлльна впервые упоминаются в 1237 году, городские права Берлина — в 1244 году.
Северо-Кавказский федеральный округ;LOC;Его административным центром является Пятигорск.;Северо-Кавка́зский федера́льный о́круг (СКФО) — федеральный округ Российской Федерации на юге европейской части России, в центральной и восточной части Северного Кавказа. В состав Северо-Кавказского федерального округа входят семь субъектов федерации с площадью 170 439 км² (1 % от территории РФ) и населением 10 205 730 чел. (6,97 % от населения РФ на 1 января 2023 года). Административный центр СКФО — город Пятигорск. История Первоначально Северо-Кавказским федеральным округом именовался федеральный округ, образованный указом президента России Владимира Путина от 13 мая 2000 года № 849, однако, уже 21 июня того же года этот округ был переименован и получил своё нынешнее название —
Организация Объединённых Наций;ORG;Флаг организации объединённых наций  Организация Объединённых Наций(OOH) — это организация по обеспечению мира и предотвращению войны между странами мира.  Здание Организацией объединённых Наций в Нью-Йорке  Зал генеральной ассамблеи  Флаги перед зданием ООН в Женеве;Организа́ция Объединённых На́ций (акрон. ООН) — международная организация, созданная для поддержания и укрепления международного мира и безопасности, а также развития сотрудничества между государствами. ООН считается универсальным форумом, наделённым уникальной легитимностью, несущей конструкцией международной системы коллективной безопасности, главным элементом современной многосторонней дипломатии. Штаб-квартира ООН находится в Нью-Йорке, у ООН также есть дополнительные офисы в Вене, Женеве и Найроби. Международный суд ООН находится в Гааге. ООН была создана после Второй мировой войны странами-участниками антигитлеровской коалиции, новая организация, пришедшая на смену Лиге Наций, должна была предотвращать будущие войны. С 2011 года членами ООН являются 193 страны, почти все суверенные государства мира. В структуру
Футбол;O;Футбол — спортивная игра с мячом, правила которой были приняты в Англии в 1863 году. Является самой популярной игрой в мире, за главными футбольными турнирами наблюдают миллиарды людей. <h> Содержание  В футбол играют две команды по одиннадцать игроков, которых называют футболистами. Матч длится 90 минут с пятнадцатиминутным перерывом в середине. Каждая из двух 45-минутных частей игры называется таймом.  Игра проходит на поле, рекомендуемый размер которого — 105 на 68 метров (но это соблюдается не всегда, часто оно имеет другие размеры). Поле разделено на две половины, по краям которых находятся ворота каждой из команд.  Цель игры — забить в ворота соперников больше голов, чем он забьёт в твои. Гол — момент в игре, когда мяч полностью пересекает линию ворот. Его можно забить любой частью тела кроме рук. Команда, забившая больше голов, объявляется победителем. Если голов забито одинаково, то объявляется ничья. Иногда победителя надо определить обязательно и тогда назначается дополнительное время — 2 тайма по 15 минут. Если и после его завершения будет ничья, то победитель определяется в серии пенальти.  Руками в футболе играть нельзя, но один игрок в каждой команде имеет на это право. Его называют вратарь или голкипер. Он может играть руками, но только внутри штрафной площадки, отмеченной возле его ворот. Обычно голкипер на протяжении всего матча находится внутри штрафной площадки, поскольку его задача — защищать ворота. Он имеет право выходить за её пределы, но в этом случае становится обычным игроком, которому запрещается играть руками. Также бывают защитники (беки, дефендеры), полузащитники (хавбеки, мидфилдеры) и нападающие (форварды). Главной задачей защитников является помешать соперникам забить гол, поэтому они в основном играют возле своих ворот. Полузащитники играют в центре поля, помогая как спереди, так и сзади. Нападающие должны забивать голы, поэтому они располагаются на чужой половине. Но всё зависит от игровой ситуации. Часто бывает, что защитники идут вперёд, а нападающие помогают защищаться.  Кроме игры рукой, в футболе также запрещается бить и толкать соперников, сбивать их с ног, а также неспортивно вести себя (плеваться в людей, оскорблять их, снимать майку во время игры). За соблюдением правил на поле следит судья или арбитр. За нарушения он назначает штрафные удары — останавливает игру, отдаёт мяч команде, против которой были нарушены правила и позволяет ей беспрепятственно пробить по мячу с места, при этом игроки команды, нарушившей правила, не имеют права мешать и должны находиться от мяча на расстоянии не менее 9 метров 15 сантиметров. Если команда нарушает правила внутри своей штрафной площадки, то в её ворота назначается пенальти. Удар пробивается с расстояния в 11 метров от ворот, в которых находится только голкипер, все остальные игроки должны выйти за пределы штрафной площадки и не мешать исполнению удара. Судья также может наказывать не только всю команду, но и отдельных игроков. За грубые нарушения правил (а также за не грубые, но постоянные) он показывает футболисту жёлтую карточку, означающую предупреждение. За два предупреждения игрок автоматически удаляется с поля и команда до конца матча играет без него. Также игрок может быть удалён с поля напрямую, без жёлтых карточек. Для этого он должен либо совершить очень грубое нарушение (устроить драку, специально прыгнуть ногой в соперника, плюнуть в человека, оскорбить судью), либо умышленно помешать сопернику забить гол с нарушением правил, например, выбить мяч рукой из пустых ворот или специально сбить с ног игрока соперников, который уже готов забить гол. Это называется «фол последней надежды» и карается прямым удалением, которое обозначается красной карточкой.  Все турниры в футболе делятся на две категории — для клубов и для сборных.  Клуб — команда, имеющая собственное название. В большинстве случаев в ней могут играть футболисты из разных стран. Кроме того, они имеют право неограниченное число раз переходить из одного клуба в другой. Почти в каждой стране мира есть много клубов, как любительских, так и профессиональных. В любительских клубах игроки выступают для собственного удовольствия, в профессиональных получают за свою игру деньги.  Сборная — команда, не имеющая собственного названия. В неё собирают лучших игроков из одной страны, под названием которой она и выступает. В сборную приглашаются футболисты из разных клубов. В своей жизни игрок может выступать только за одну сборную и не имеет права переходить из одной в другую. В сборной футболистам не платят зарплату, за хорошие результаты им могут выдать премию, но обычно она гораздо меньше их зарплаты в клубах. Несмотря на это, именно соревнования сборных считаются в футболе самыми престижными.  Почти каждая страна проводит турнир среди своих клубов, который называется чемпионат. Обычно он состоит из нескольких лиг. В главной лиге участвуют лучшие команды страны, каждая команда играет против каждой по два раза. За победу в одной игре даётся 3 очка, за ничью — 1, за поражение — 0. Команда, набравшая по итогам чемпионата больше всех очков, становится его победителем — чемпионом. Худшие команды вылетают во вторую по значимости лигу, в которой происходит то же самое — лучшие команды выходят в первую лигу, а худшие вылетают в третью и так далее. Также проводится кубок, в котором команды играют «на вылет». Жребием определяются соперники, проигравшие заканчивают выступления в турнире, победители играют дальше и так до того момента, пока не останутся две команды, которые разыгрывают между собой финал. Победитель финала становится обладателем кубка. Если чемпионат чаще всего выигрывает сильная команда, то в кубке может победить и слабая, потому что им могут доставаться ещё более слабые соперники, а также они могут случайно выиграть несколько матчей подряд.  Также проховодятся международные турниры, где играют между собой лучшие команды всех стран. Они проводятся по континентам — Европа, Южная Америка, Северная Америка, Африка, Азия и Океания. Эти турниры имеют разные названия. В Северной Америке, Африке, Азии и Океании соревнования недостаточно сильные, потому что в них играют не самые хорошие футболисты. Главное соревнование Южной Америки называется Кубок Либертадорес. Раньше оно было очень престижным, но в последние десятилетия и его статус значительно снизился, потому что южноамериканские команды не могут платить своим лучшим игрокам много денег и они уезжают в Европу. Именно европейские клубы являются самыми сильными, в них выступают почти все лучшие футболисты мира. Главное европейское соревнование называется Лига Чемпионов. Оно проводится каждый год и является самым престижным клубным турниром мира.  Каждый континент проводит свой чемпионат, самыми сильными из них являются Чемпионат Европы и Кубок Америки. Но главным турниром является Чемпионат мира. Он проходит раз в четыре года и в нём участвуют лучшие сборные со всей планеты. Чтобы оказаться среди участников, надо пройти отборочный турнир. Финальный турнир проводится в течение месяца чаще всего в одной стране (в 2002 году — в двух, а чемпионат мира-2026 состоится в трёх странах) и в нём участвуют 32 команды (в 2026 году их число будет увеличено до 48). На чемпионат мира приезжают миллионы болельщиков со всей планеты, а по телевидению и интернету его матчи смотрят миллиарды людей.;Футбо́л (англ. football от foot «ступня» + ball «мяч») — командный вид спорта, в котором целью является забить мяч в ворота соперника ногами или другими частями тела (кроме рук) большее количество раз, чем команда соперника. В настоящее время самый популярный и массовый вид спорта в мире. Игрок, играющий в эту игру, называется футболи́ст. Названия игры Подробнее см. en:Names for association footballФИФА и Международный олимпийский комитет используют «футбол» как официальное международное название игры. Полное англоязычное название игры, «association football» («футбол по правилам Ассоциации»), было выбрано после создания английской Футбольной ассоциации в 1863 году, чтобы отличать эту игру от других разновидностей футбола,
