Value;Language Pair
[0.003595540995235211, 0.019489695963430625, 0.007248731760912336, 0.007838737144978594, 0.009745113893103514, 0.05266118692795759, 0.06909706895888995, 0.08058757848273523, 0.09191269791613986, 0.11385859332454243, 0.12057529111239727, 0.12549241774930767, 0.09317526292759634];en-hi
[0.0026152660526040134, 0.022347669809455104, 0.005276204527571955, 0.005784720072209843, 0.009096768299132496, 0.05034633703581935, 0.06356887645774575, 0.07127414676001921, 0.08256310511179285, 0.10344193560722813, 0.11077644711834612, 0.11553916187352603, 0.0779590103707315];en-ar
[0.0025123417772293126, 0.014106406430888997, 0.006540972403537913, 0.005635341611007268, 0.004324806818544739, 0.010447887485751995, 0.00788826549694526, 0.010331125470853252, 0.01443626535899252, 0.019892691415785355, 0.0456135109932108, 0.06052609609855659, 0.038018021758832024];en-ru
[0.005971273727337167, 0.009953881590021944, 0.005261312810764031, 0.010832461713080112, 0.00989859504343622, 0.007535305373656009, 0.014307685920377573, 0.024700354467757243, 0.033999556789129026, 0.04648248871827187, 0.0487063171640519, 0.04965233790725171, 0.0597024256691573];en-fr
[0.0036632626518022455, 0.0177294627894013, 0.007449330791766785, 0.007640942998782237, 0.009553777592510665, 0.04955066377277913, 0.06314691630216981, 0.07210553580498266, 0.07946523166280409, 0.10117798994123062, 0.0965274452705461, 0.09447297617059562, 0.07294850722937754];en-hi
[0.0025533426108066437, 0.019369137030527186, 0.005061460580416074, 0.005753079922151811, 0.008700183458692397, 0.04061823032849244, 0.04882248948358414, 0.052814655692199716, 0.057936991035352464, 0.07654191593695457, 0.07567141142909199, 0.07439663730716006, 0.0464041022919126];en-ar
[0.002917996681139638, 0.016345473662230152, 0.0071117172741117, 0.005863237401722545, 0.004182121074762231, 0.004640525666894778, 0.009072254837859482, 0.012469036319357425, 0.020584784582275542, 0.02830478874930038, 0.05976990714084297, 0.07023991092039146, 0.043048133889362704];en-ru
[0.0058993177721905436, 0.01127075146118658, 0.004895309509484011, 0.01122675282759316, 0.010245525422522848, 0.006122248192430381, 0.012604019160263717, 0.02344532067436292, 0.03412000959905056, 0.04483414250593238, 0.05171430251327643, 0.055964788439643524, 0.07563405938179002];en-fr
[0.004013296311718088, 0.020192464889419587, 0.007738137715959829, 0.007730134495290603, 0.00973743807373993, 0.052289383383869625, 0.06599378510216744, 0.07591625974895516, 0.08397716919112254, 0.105540021948268, 0.10536150635506049, 0.10428923722646014, 0.07067495193440455];en-hi
[0.0026388271152224404, 0.022510326281436323, 0.00551804124070886, 0.005518839900923759, 0.008858993491349531, 0.047979728761713976, 0.05896036731304001, 0.0652779783180759, 0.07309075072892787, 0.09494608200766887, 0.09328050780416838, 0.0933663059042504, 0.05610613161266871];en-ar
[0.00286305223819474, 0.015227060700542814, 0.007240306645966724, 0.005882257553645233, 0.004482386486516128, 0.006240015135374642, 0.004942095230203869, 0.007649920219961469, 0.01172485622243699, 0.016614182671157555, 0.03924858091503598, 0.048489843670816025, 0.017783544914175067];en-ru
[0.00577286472387897, 0.011482454106462502, 0.004865247239925801, 0.010068294707207071, 0.009605358680842741, 0.005881885868724625, 0.01159421803675862, 0.02191266787509411, 0.030785832277204172, 0.040858340255383575, 0.048408905452326643, 0.057295626596556876, 0.07238823530045307];en-fr
[0.0040123336630214545, 0.018160206633104754, 0.008020534457703525, 0.007290466831430017, 0.009261596989711544, 0.050075572424008306, 0.0631647062537323, 0.07173452491929802, 0.07779178100254658, 0.10130710301573939, 0.09265754540065213, 0.08667254616393226, 0.059371653562047405];en-hi
[0.002497057522596387, 0.019814383730932986, 0.0060929353431363195, 0.005956041697469147, 0.009183395268849886, 0.0451580369567471, 0.05473587244077839, 0.05945220807131707, 0.0648541239669592, 0.08700945902543594, 0.07698710623673694, 0.06994488992794551, 0.03014616015352392];en-ar
[0.003049745573421267, 0.015160954662261857, 0.006304405817506091, 0.006065778446068983, 0.004848148902968736, 0.00996270907688888, 0.007662189674445329, 0.009027116803232193, 0.012189180079851765, 0.01818386246320019, 0.03577650698900398, 0.048904695658565374, 0.02577552400815103];en-ru
[0.0058139742538043954, 0.011050627456066492, 0.005123201574802408, 0.010970904241580872, 0.010208005352237403, 0.005956784645586886, 0.01147167316155729, 0.020523260090632482, 0.02898521530137381, 0.0401177107391433, 0.04404497612679945, 0.04000419784594224, 0.06942679141400887];en-fr
[0.0038217219125129633, 0.019013619216219243, 0.0076350206251900084, 0.0076460616954647665, 0.010425313855878948, 0.05253714023597205, 0.06526900783190079, 0.07465649367234438, 0.08135454782601484, 0.10294209860055115, 0.09569458480819285, 0.09495826209574486, 0.0647123070918458];en-hi
[0.0026774716660240357, 0.01854712604059213, 0.004988248990670503, 0.005438199204416082, 0.008594076088668792, 0.040087637254468005, 0.04770094529686633, 0.05205985487932183, 0.05600233251787825, 0.07308333645765515, 0.0694934964275152, 0.07175338208640926, 0.04485390154881372];en-ar
[0.0029386251993354542, 0.015299628192328016, 0.006679496895027847, 0.0060868587543728425, 0.004617308112802805, 0.006679093149617636, 0.005968838171609104, 0.008980308202480265, 0.015131627212085384, 0.022035852202334758, 0.05325565819825934, 0.06893093884400335, 0.03564555743982932];en-ru
[0.006086838574708894, 0.011430343588314204, 0.00508998998247107, 0.011584649297384647, 0.01075577873997852, 0.006914987535365584, 0.012704679292709107, 0.022811676912289823, 0.03043345383821461, 0.038619567512818316, 0.0472963831111664, 0.051826416119757523, 0.07213596800929487];en-fr
[0.0040602273621677095, 0.020050931732093595, 0.007734858018100964, 0.007587427816278449, 0.009736548729235205, 0.05364201191386167, 0.06957317782800361, 0.08065846889276108, 0.09162971722958245, 0.11720531808997797, 0.11549659933465706, 0.11296888117183684, 0.0760679965034479];en-hi
[0.0026222940720842317, 0.020794438038454485, 0.0053396990996599095, 0.005589692572156899, 0.008776419083745747, 0.04579490686748977, 0.05650298765395248, 0.06171904839687674, 0.06936383730704768, 0.09056104105938752, 0.08857017199672983, 0.08692925593265971, 0.044737433989926655];en-ar
[0.002927710368338303, 0.017012349758117953, 0.007120447965835323, 0.00604522243566039, 0.004604128042459949, 0.007273323917743889, 0.006455218207905446, 0.00988396390233021, 0.016287786862010312, 0.02187541521074362, 0.05527814438759156, 0.07060979450468807, 0.04323075144101548];en-ru
[0.006078932457431591, 0.011401797121471272, 0.004920630491845364, 0.010680394493519865, 0.009980040992431334, 0.00435913466470683, 0.010398597437737914, 0.02139812452561921, 0.031407644966916407, 0.04295673904906276, 0.05364454964334347, 0.05759022287492704, 0.07539493535659866];en-fr
[0.0040245300210442056, 0.019928448798640894, 0.007244924063743142, 0.007650769439103195, 0.010582432932941825, 0.0573947801575649, 0.07183103970844096, 0.08053334442848745, 0.08735768451544776, 0.10673500294176268, 0.1061132390982093, 0.10650606249716581, 0.07453535498517255];en-hi
[0.0026017314997875706, 0.021170293015978444, 0.005119763477115664, 0.0058890920082044764, 0.009074777742786635, 0.046048899916299436, 0.05655731375328129, 0.0619080015661649, 0.06886698760326039, 0.08857735238827039, 0.08907634343730003, 0.08967804024639543, 0.05327408093197956];en-ar
[0.002911878077327217, 0.015308764476644228, 0.006571310498593066, 0.00604816521040921, 0.004605326360534519, 0.005525825253186557, 0.0071062522873146135, 0.01002134455950426, 0.017726379278650534, 0.02424413032997727, 0.059490799685172534, 0.07433712740287354, 0.039138333293907555];en-ru
[0.006014392050412411, 0.010774486365814968, 0.004834724956475767, 0.01056590449501658, 0.009947143631922726, 0.0039651623321377266, 0.006714003452818864, 0.014566698957825181, 0.02041276721993158, 0.0303549367289394, 0.027265350047667274, 0.02260453148979407, 0.052892903972912055];en-fr
[0.003926285905944783, 0.017861153140839886, 0.007075631930293013, 0.007639454301182057, 0.01025036357727738, 0.054529998277125805, 0.06895361687911802, 0.07862581953900105, 0.08699992703755106, 0.11061565966008012, 0.10907618457612388, 0.11219884074726887, 0.07313892870135252];en-hi
[0.002663095162109779, 0.019963751107044365, 0.00522829686928174, 0.005652392397286135, 0.009243517710999814, 0.04870459430147489, 0.059419093806800764, 0.06506558820961983, 0.07294301484324305, 0.09542176139740362, 0.09472321757146789, 0.09537512747917312, 0.05373637835991748];en-ar
